,Close,Open,High,Low,Adj Close,Volume
2020-03-26,100.88304958978847,100.37863434183953,101.08263682056189,100.37863434183953,100.88304958978847,2442900
2020-03-27,59.45168909563006,101.08639677714022,101.34699369251311,59.30978389780658,59.45168909563006,2017836
2020-03-30,33.91979208887818,59.72782429717275,59.7971716066174,33.906693294550024,33.91979208887818,4214968
2020-03-31,18.7475147949118,33.81092604049391,34.12134925090034,18.68537776533723,18.7475147949118,5547436
2020-04-01,10.772466212852027,18.65091171144059,18.713419972890986,10.680770899215899,10.772466212852027,4036785
2020-04-02,5.631401763011223,10.770702383609434,10.856105081974823,5.589292677612526,5.631401763011223,3124823
2020-04-03,3.1820048930742235,5.6665276698868565,5.712564493386372,3.151235380621427,3.1820048930742235,8365431
2020-04-06,1.7743903745604312,3.216893996174806,3.241082436862519,1.7658837381807218,1.7743903745604312,6974019
2020-04-07,0.9824444441351025,1.7719478820368242,1.7817008169976647,0.9741896716715184,0.9824444441351025,5764948
2020-04-08,0.5680352354058548,0.9856332841564597,0.9886273693704791,0.5660673230746889,0.5680352354058548,3961425
2020-04-09,0.32047995833112636,0.5656551680502041,0.5697347044972644,0.3197655396817022,0.32047995833112636,7842902
2020-04-10,0.17690881816600545,0.32107432980248624,0.3241562194627801,0.17674137141499863,0.17690881816600545,3309396
2020-04-13,0.09967334781506357,0.17705818540018803,0.17762811898273598,0.09944436890843192,0.09967334781506357,5917063
2020-04-14,0.05732977712626485,0.10034321013238846,0.10040482888452812,0.05723503356252401,0.05732977712626485,9780804
2020-04-15,0.03050475595837434,0.057584910975119356,0.057690889490658245,0.030329887434971205,0.03050475595837434,6830041
2020-04-16,0.018136232562705388,0.030293585684831804,0.03038791238268812,0.018013919713623996,0.018136232562705388,8571060
2020-04-17,0.010235665375520024,0.018251079724792497,0.01827387301904364,0.010219922855531855,0.010235665375520024,8286590
2020-04-20,0.005925197443416923,0.010297775265331736,0.01034793277578045,0.005875536964984305,0.005925197443416923,7510089
2020-04-21,0.003277741832201175,0.005905878349103883,0.005948775629470129,0.0032659953833490394,0.003277741832201175,2426166
2020-04-22,0.0017253743083644843,0.0032931556013095875,0.003307569120015031,0.0017143851090402056,0.0017253743083644843,1770298
2020-04-23,0.0009700812561984197,0.001712111552894841,0.0017128539565718236,0.0009678222140030257,0.0009700812561984197,4436938
2020-04-24,0.0005479367740099299,0.0009728305835019416,0.0009811580375012467,0.0005464244364569715,0.0005479367740099299,7302673
2020-04-27,0.000319389138252858,0.000550781798551159,0.0005521724575135519,0.0003191828246093636,0.000319389138252858,2895505
2020-04-28,0.00017893002667655807,0.0003199456189399554,0.00032110156223245467,0.0001776671969349244,0.00017893002667655807,4734642
2020-04-29,9.701767898591142e-05,0.00017891641857013766,0.0001790464652236568,9.652328183295568e-05,9.701767898591142e-05,7240025
2020-04-30,5.444088932766323e-05,9.744161063196795e-05,9.826921545718737e-05,5.391978793215613e-05,5.444088932766323e-05,4549827
