,Close,Open,High,Low,Adj Close,Volume
2020-03-26,100.92806276631741,100.42342245248582,101.76142289304815,100.08662884320704,100.92806276631741,1031413
2020-03-27,54.61898847047896,99.61989454501897,100.02448404501887,54.37576303868527,54.61898847047896,6758570
2020-03-30,28.789036257748336,54.434154631751554,54.58477546098686,28.763913529062187,28.789036257748336,7449438
2020-03-31,15.054102668364683,28.78911461000884,29.042855707058703,14.911139967985479,15.054102668364683,3293835
2020-04-01,7.83610945696612,15.064713686595626,15.16872569050798,7.790280998146878,7.83610945696612,1294850
2020-04-02,4.003384679303865,7.841584480191606,7.859291376796203,3.965414629478542,4.003384679303865,3788796
2020-04-03,2.0105797234909306,4.019866688389223,4.057497153970786,1.9965976381786397,2.0105797234909306,1991446
2020-04-06,1.1210455656743719,2.025281534873953,2.026137103953543,1.1169731692633482,1.1210455656743719,1703707
2020-04-07,0.550315541220728,1.1291020756091028,1.1335425712219407,0.5465445647754608,0.550315541220728,8043069
2020-04-08,0.2935079804574178,0.5524323060297426,0.5526842736243691,0.2929382814488511,0.2935079804574178,5725097
2020-04-09,0.14976984975088173,0.2922860984068967,0.29379222803312277,0.14972500348769488,0.14976984975088173,4605593
2020-04-10,0.07736257987952205,0.150011439923699,0.15106349711497175,0.07675776173737732,0.07736257987952205,1379126
2020-04-13,0.04171087342448223,0.07710150256322812,0.07774900409223529,0.041657572035990104,0.04171087342448223,6776952
2020-04-14,0.021319034470253854,0.041811036812105476,0.04197034038016658,0.02121194988792419,0.021319034470253854,5846655
2020-04-15,0.010975088038853031,0.021419050457564273,0.021573958162124426,0.010959556259981034,0.010975088038853031,6810718
2020-04-16,0.0059259201911763485,0.011058874152474727,0.011069530485949495,0.005908414743661446,0.0059259201911763485,3487715
2020-04-17,0.0031180629974358,0.005861510582916579,0.005885426765119835,0.003100738139548762,0.0031180629974358,6647242
2020-04-20,0.0016565828644829876,0.0030971102101148493,0.0031257819337655196,0.0016502118242868007,0.0016565828644829876,5650858
2020-04-21,0.0008611314860475204,0.001658003816721431,0.0016721245140673988,0.0008580295213078603,0.0008611314860475204,9657813
2020-04-22,0.0004455580288461171,0.0008599613058814043,0.0008618955974758763,0.0004447130935825921,0.0004455580288461171,6899423
2020-04-23,0.00024153912434941798,0.000441198186804892,0.00044230599478093,0.0002410071596663321,0.00024153912434941798,5128230
2020-04-24,0.00012515755397691684,0.00024140017298074706,0.00024380180023317397,0.00012508910895726362,0.00012515755397691684,2969929
2020-04-27,6.70793950740245e-05,0.00012643220844182676,0.00012731630414845884,6.688558449988233e-05,6.70793950740245e-05,4173694
2020-04-28,3.5806548482187364e-05,6.72328538457098e-05,6.723617689358365e-05,3.550459614345811e-05,3.5806548482187364e-05,3786066
2020-04-29,1.7470139359993598e-05,3.5646467590499175e-05,3.595291144053887e-05,1.7448280795481433e-05,1.7470139359993598e-05,6050964
2020-04-30,8.912482329026495e-06,1.75413962056297e-05,1.757531886496741e-05,8.862931863789528e-06,8.912482329026495e-06,6915422
2020-05-01,4.635374525664954e-06,8.941387387636256e-06,8.984823676284514e-06,4.61865991082884e-06,4.635374525664954e-06,1876484
2020-05-04,2.5511135663620383e-06,4.627309147128851e-06,4.639125942492614e-06,2.5266005888277025e-06,2.5511135663620383e-06,6573040
2020-05-05,1.3241458659202418e-06,2.560078690610553e-06,2.5666709852598646e-06,1.3211673078451748e-06,1.3241458659202418e-06,7916209
2020-05-06,6.9951991266924e-07,1.3252634537961302e-06,1.3290576567407204e-06,6.965106298379748e-07,6.9951991266924e-07,9258648
2020-05-07,3.623644526711e-07,6.993145908043096e-07,7.040316449888329e-07,3.6186010581026483e-07,3.623644526711e-07,2455133
2020-05-08,1.9005753554679243e-07,3.6110757361488347e-07,3.6335840071924946e-07,1.8868521892238671e-07,1.9005753554679243e-07,6849966
2020-05-11,9.675295684614631e-08,1.8942838450489883e-07,1.9041944053609246e-07,9.588566568480847e-08,9.675295684614631e-08,4355226
2020-05-12,4.99894552243777e-08,9.672827292644718e-08,9.740836453149199e-08,4.973408548970084e-08,4.99894552243777e-08,6356588
2020-05-13,2.5824318004056367e-08,4.994310130175363e-08,5.021016354062813e-08,2.5689498434416602e-08,2.5824318004056367e-08,7695417
2020-05-14,1.360481645988013e-08,2.581864137186898e-08,2.5935688050681285e-08,1.3490195456139808e-08,1.360481645988013e-08,5612751
2020-05-15,6.5947502959623274e-09,1.3557554348110677e-08,1.3559259910680901e-08,6.580135239737049e-09,6.5947502959623274e-09,5585350
2020-05-18,3.3801924876067272e-09,6.611489935280176e-09,6.66017749360817e-09,3.348882391941262e-09,3.3801924876067272e-09,3922771
2020-05-19,1.725974825549264e-09,3.4031591422128988e-09,3.431347231482163e-09,1.7146445617152078e-09,1.725974825549264e-09,2112135
2020-05-20,8.841759615608894e-10,1.714849096305144e-09,1.7210268389255145e-09,8.796381061954262e-10,8.841759615608894e-10,5602035
2020-05-21,4.482533945067418e-10,8.880738035920628e-10,8.882246403717387e-10,4.469336999007659e-10,4.482533945067418e-10,6654159
2020-05-22,2.4199061888706424e-10,4.466931666929043e-10,4.4989125505271337e-10,2.403996696618829e-10,2.4199061888706424e-10,7782480
2020-05-25,1.2263466906145313e-10,2.409193893332332e-10,2.4234924506752843e-10,1.2229152495065234e-10,1.2263466906145313e-10,1300164
2020-05-26,6.02895514839571e-11,1.2342743046830276e-10,1.2379477206423909e-10,6.011977149010514e-11,6.02895514839571e-11,4161380
2020-05-27,3.0029035366499693e-11,6.059569494517237e-11,6.103049554440219e-11,2.9732194049388024e-11,3.0029035366499693e-11,4705457
2020-05-28,1.5839504727543578e-11,3.0084625266525176e-11,3.0340252150822683e-11,1.5748647142412114e-11,1.5839504727543578e-11,3125070
2020-05-29,7.872907018297934e-12,1.5866622242071586e-11,1.599554492349118e-11,7.814418462207286e-12,7.872907018297934e-12,8366757
2020-06-01,4.106969702002941e-12,7.93129013974685e-12,7.9581814715678e-12,4.100058020082438e-12,4.106969702002941e-12,3313416
2020-06-02,2.1622144972240846e-12,4.113437846804268e-12,4.1537945657518215e-12,2.142673484593685e-12,2.1622144972240846e-12,7340422
2020-06-03,1.1649807946714425e-12,2.1538525162421954e-12,2.169491301944164e-12,1.1614834960763219e-12,1.1649807946714425e-12,4189808
2020-06-04,6.130779722725377e-13,1.1506622996799271e-12,1.1573167905308275e-12,6.086992565571057e-13,6.130779722725377e-13,6352592
2020-06-05,3.1470370775413195e-13,6.108182105757616e-13,6.126913980581991e-13,3.128509876363323e-13,3.1470370775413195e-13,4324232
2020-06-08,1.591015199821828e-13,3.1617304628199733e-13,3.162508156022736e-13,1.5907645464108972e-13,1.591015199821828e-13,9995428
2020-06-09,8.180210659259841e-14,1.5808828411738633e-13,1.594660675644254e-13,8.118052542436553e-14,8.180210659259841e-14,5769832
2020-06-10,4.110707554268805e-14,8.123776420024613e-14,8.136678721023424e-14,4.1011361389123e-14,4.110707554268805e-14,5367950
2020-06-11,2.0536029857754923e-14,4.1022250000516095e-14,4.1249993819154006e-14,2.0520553573994716e-14,2.0536029857754923e-14,4171920
2020-06-12,9.781498934677359e-15,2.0453421599624486e-14,2.063360190024017e-14,9.763447474868925e-15,9.781498934677359e-15,3377690
2020-06-15,5.1318481629426116e-15,9.79493328514127e-15,9.798964926149521e-15,5.109518192762235e-15,5.1318481629426116e-15,7667082
2020-06-16,2.655379030867614e-15,5.10177517670079e-15,5.107508959973389e-15,2.642924547442164e-15,2.655379030867614e-15,4296669
2020-06-17,1.3268954760716142e-15,2.672469870918391e-15,2.6725708313521153e-15,1.3169934423769417e-15,1.3268954760716142e-15,6199687
2020-06-18,6.8797917086227175e-16,1.3287361662208552e-15,1.3313630401410758e-15,6.811746055646924e-16,6.8797917086227175e-16,3172012
2020-06-19,3.465704575103541e-16,6.899399761937177e-16,6.959278992310462e-16,3.4407924403793684e-16,3.465704575103541e-16,6827087
2020-06-22,1.7567340820358409e-16,3.4375181815927983e-16,3.437927866921866e-16,1.7445192337678747e-16,1.7567340820358409e-16,3976268
2020-06-23,9.008925358098958e-17,1.757980862926492e-16,1.7610081724882466e-16,8.927562103249911e-17,9.008925358098958e-17,5927783
2020-06-24,4.733845722156564e-17,9.02039441095958e-17,9.093879564759828e-17,4.699742346193792e-17,4.733845722156564e-17,5493484
2020-06-25,2.4209919203878498e-17,4.731789829771244e-17,4.7336334089137555e-17,2.4196521292776076e-17,2.4209919203878498e-17,1943228
2020-06-26,1.3022291076052687e-17,2.439913645737634e-17,2.461310080155756e-17,1.2955394489665224e-17,1.3022291076052687e-17,5439155
2020-06-29,6.714898832676311e-18,1.3124584205268487e-17,1.3248634329483381e-17,6.65082889937649e-18,6.714898832676311e-18,3169625
2020-06-30,3.3145856429439644e-18,6.754156567042559e-18,6.7983436434912254e-18,3.283146061500558e-18,3.3145856429439644e-18,8111333
2020-07-01,1.809872199559563e-18,3.3288724074667945e-18,3.353152169072978e-18,1.8025057544961244e-18,1.809872199559563e-18,1738600
2020-07-02,9.505387328560136e-19,1.7968116231514103e-18,1.8094142280494043e-18,9.421102172437502e-19,9.505387328560136e-19,8528243
